"idno","typesamp","interva","telnum","agea_1","gendera1","type","access","physa","littera","vandaa","psu","prob","vote","prtvtbgb","prtclbgb","prtdgcl","ctzcntr","ctzshipc","brncntr","cntbrthc","cgtsmke","cgtsday","alcfreq","alcwkdy","alcwknd","hhmmb","gndr","agea","eisced","pdwrk","edctn","uempla","uempli","rtrd","wrkctra","hinctnta","region","alcohol_day"
100001797,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9247,0.00010153082006117,"Yes","Liberal Democrat","Liberal Democrat","Not close","Yes",NA,"Yes",NA,"I smoke but not every day",5,"Several times a week",179,291,3,"Male",38,"ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","H - 10th decile","South East (England)",32.2285714285714
100001798,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Satisfactory","Large amount","Small amount",9340,0.00020306164012234,"Yes","Liberal Democrat",NA,NA,"Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Less than once a month",8,8,1,"Male",76,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","R - 2nd decile","North East (England)",0
100001800,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",9493,0.0000507654100305851,"Not eligible to vote",NA,"Labour","Not close","Yes",NA,"Yes",NA,"I have never smoked",0,"Once a week",17,160,4,"Female",20,"ES-ISCED IIIa, upper tier upper secondary","Not marked","Marked","Not marked","Not marked","Not marked","Limited","P - 8th decile","Scotland",NA
100001801,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Very good","None or almost none","None or almost none",9320,0.00010153082006117,"Yes","UK Independence Party","UK Independence Party","Not close","Yes",NA,"Yes",NA,"I have never smoked",0,"Less than once a month",0,18,2,"Male",43,"ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","P - 8th decile","South East (England)",0.0182857142857143
100001804,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Very good","None or almost none","None or almost none",9303,0.0000676872133741134,"Yes",NA,NA,NA,"Yes",NA,"No","Sri Lanka","I have never smoked",0,"Never",NA,NA,3,"Female",64,"ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited",NA,"London",0
100001805,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","Yes, entry phone","Satisfactory","Small amount","Small amount",9485,0.00020306164012234,"Yes","Labour","Labour","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Never",NA,NA,1,"Male",37,"ES-ISCED V2, higher tertiary education, >= MA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","R - 2nd decile","Scotland",0
100001807,"Address","Complete and valid interview related to CF","Refused",NA,NA,"Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",9427,0.0000676872133741134,"Not eligible to vote",NA,"Green Party","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Less than once a month",29,29,3,"Female",15,"ES-ISCED II, lower secondary","Not marked","Marked","Not marked","Not marked","Not marked",NA,NA,"South East (England)",0.26
100001815,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Very good","None or almost none","None or almost none",9304,0.00010153082006117,"Yes","Liberal Democrat",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Less than once a month",24,24,5,"Female",40,"ES-ISCED V2, higher tertiary education, >= MA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","S - 6th decile","Wales",0.136
100001817,"Address","Complete and valid interview related to CF","Present","40 to 59","Female","Single unit: Terraced house","No, neither of these","Satisfactory","Small amount","None or almost none",9324,0.00010153082006117,"Yes",NA,NA,NA,"Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"2-3 times a month",0,120,2,"Female",56,"ES-ISCED I , less than lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited",NA,"East of England",0.297959183673469
100001818,"Address","Complete and valid interview related to CF","Refused","40 to 59","Male","Multi-unit house, flat","Yes, entry phone and locked gate/door","Good","None or almost none","None or almost none",9262,0.00010153082006117,"Yes","Liberal Democrat","Liberal Democrat","Not close","Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Once a month",72,0,2,"Male",55,"ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","C - 3rd decile","East of England",NA
100001819,"Address","Complete and valid interview related to CF","Present","20 to 39","Female","Single unit: Semi-detached house","No, neither of these","Bad","Small amount","Small amount",9365,0.0000507654100305851,"Not eligible to vote",NA,NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Never",NA,NA,4,"Female",22,"ES-ISCED IV, advanced vocational, sub-degree","Marked","Marked","Not marked","Not marked","Not marked","Unlimited","F - 5th decile","South East (England)",0
100001820,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","Yes, entry phone and locked gate/door","Very good","None or almost none","None or almost none",9469,0.00020306164012234,"No",NA,"Liberal Democrat","Not close","Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Several times a week",208,208,1,"Male",38,"ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Marked","Not marked","Not marked",NA,"J - 1st decile","North West (England)",24.0571428571429
100001827,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",9349,0.00010153082006117,"Yes","Conservative","Conservative","Quite close","Yes",NA,"Yes",NA,"I smoke daily",25,"Less than once a month",18,0,2,"Male",53,"ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not marked","Not marked","Unlimited","F - 5th decile","South West (England)",0.34
100001830,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Very good","None or almost none","None or almost none",9238,0.0000507654100305851,"Yes","Liberal Democrat",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Once a week",0,36,4,"Male",52,"ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","P - 8th decile","Scotland",1.14285714285714
100001832,"Address","Complete and valid interview related to CF","Refused",NA,NA,"Single unit: Terraced house","No, neither of these","Very good","None or almost none","None or almost none",9240,0.00010153082006117,"Yes","Conservative","Conservative","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Several times a week",17,25,2,"Female",67,"ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","F - 5th decile","Wales",4.11428571428571
100001834,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Satisfactory","Small amount","Small amount",9433,0.00020306164012234,"No",NA,NA,NA,"Yes",NA,"No",NA,"I have never smoked",0,"Never",NA,NA,4,"Male",36,"ES-ISCED V2, higher tertiary education, >= MA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","D - 9th decile","North West (England)",0
100001839,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9247,0.00020306164012234,"Yes","Liberal Democrat",NA,NA,"Yes",NA,"No",NA,"I have only smoked a few times",0,"Less than once a month",24,42,1,"Female",80,"ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","C - 3rd decile","South East (England)",NA
100001842,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Satisfactory","Small amount","None or almost none",9257,0.0000406123280244681,"Yes",NA,NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"2-3 times a month",0,42,5,"Female",50,"ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","K - 7th decile","East Midlands (England)",NA
100001845,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","Small amount","None or almost none",9476,0.00010153082006117,"Yes","Green Party","Green Party","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Less than once a month",0,72,4,"Female",38,"ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not marked","Not marked",NA,"S - 6th decile","South East (England)",NA
100001849,"Address","Complete and valid interview related to CF","Present","Don't know, never saw R, no selected R","Don't know, never saw R, no selected R","Single unit: Detached house","No, neither of these","Satisfactory","Small amount","None or almost none",9478,0.0000676872133741134,"Yes","Labour","Other","Quite close","Yes",NA,"No",NA,"I smoke daily",8,"Never",NA,NA,8,"Female",55,"ES-ISCED V2, higher tertiary education, >= MA level","Marked","Not marked","Not marked","Not marked","Not marked",NA,"D - 9th decile","London",0
100001850,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",9360,0.00010153082006117,"Yes","Conservative",NA,NA,"Yes",NA,"No",NA,"I have only smoked a few times",0,"Several times a week",28,24,4,"Male",38,"ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","P - 8th decile","South East (England)",NA
100001852,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","Yes, entry phone","Very good","None or almost none","None or almost none",9399,0.00010153082006117,"Yes","Democratic Unionist Party (nir)","Ulster Unionist Party (nir)",NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Never",NA,NA,2,"Male",84,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Marked","No contract","R - 2nd decile","Northern Ireland",0
100001854,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","Small amount","Small amount",9405,0.0000507654100305851,"No",NA,"Labour","Not close","Yes",NA,"Yes",NA,"I smoke daily",15,"Never",NA,NA,4,"Female",39,"ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","C - 3rd decile","North East (England)",0
100001856,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Very good","None or almost none","None or almost none",9374,0.00020306164012234,"No",NA,"Conservative","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Several times a week",24,48,1,"Female",52,"ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked",NA,"C - 3rd decile","East Midlands (England)",13.7142857142857
100001862,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",9275,0.00010153082006117,"Yes","Conservative","Conservative","Not close","Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Every day",100,16,2,"Male",72,"ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not marked","Marked","No contract","C - 3rd decile","East of England",76
100001869,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9331,0.00020306164012234,"Yes","Labour","Labour","Not close","Yes",NA,"Yes",NA,"I have never smoked",0,"2-3 times a month",16,16,1,"Male",76,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","M - 4th decile","North East (England)",1.91428571428571
100001871,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9334,0.00010153082006117,"Yes","Labour","Labour","Quite close","Yes",NA,"Yes",NA,"I smoke daily",20,"Less than once a month",0,88,4,"Female",41,"ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not marked","Not marked","Limited","P - 8th decile","Wales",0.208
100001874,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9289,0.00010153082006117,"Yes","Conservative","Conservative","Quite close","Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Several times a week",24,72,6,"Female",36,"ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not marked","Not marked","Unlimited","H - 10th decile","South East (England)",NA
100001877,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",9448,0.00010153082006117,"No",NA,"Conservative","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Once a week",0,24,2,"Male",62,"ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not marked","Not marked","No contract","S - 6th decile","North East (England)",0.293877551020408
100001880,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit: Sheltered/retirement housing","Yes, entry phone and locked gate/door","Very good","None or almost none","None or almost none",9382,0.00010153082006117,"Yes","Social Democratic and Labour Party (nir)","Social Democratic and Labour Party (nir)",NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Never",NA,NA,2,"Female",82,"ES-ISCED V2, higher tertiary education, >= MA level","Marked","Not marked","Not marked","Not marked","Not marked","No contract",NA,"Northern Ireland",0
100001881,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","Yes, locked gate/door","Good","None or almost none","None or almost none",9351,0.00010153082006117,"Yes","Labour","Labour","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Never",NA,NA,2,"Female",56,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Marked","No contract","M - 4th decile","Wales",0
100001883,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",9352,0.00010153082006117,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Less than once a month",14,32,4,"Female",27,"ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not marked","Not marked","Limited","J - 1st decile","Yorkshire and the Humber",0.352
100001885,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",9336,0.00020306164012234,"Yes","Liberal Democrat",NA,NA,"Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Several times a week",18,101,1,"Male",72,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Marked",NA,"R - 2nd decile","North West (England)",70
100001888,"Address","Complete and valid interview related to CF","Refused",NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9333,0.00020306164012234,"Yes","Labour",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Less than once a month",17,17,1,"Female",NA,"ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited",NA,"Wales",0.102857142857143
100001890,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9387,0.00010153082006117,"Yes",NA,NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Once a week",17,0,2,"Female",30,"ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited",NA,"South East (England)",1.53469387755102
100001892,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",9487,0.00010153082006117,"Yes","Conservative","Conservative","Not close","Yes",NA,"Yes",NA,"I have never smoked",0,"Several times a week",18,77,2,"Male",62,"ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","K - 7th decile","West Midlands (England)",5.14285714285714
100001893,"Address","Complete and valid interview related to CF","Present","20 to 39","Male","Single unit: Semi-detached house","No, neither of these","Satisfactory","None or almost none","None or almost none",9306,0.0000676872133741134,"No",NA,"UK Independence Party","Quite close","Yes",NA,"Yes",NA,"I smoke daily",20,"Several times a week",55,73,3,"Male",54,"ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","C - 3rd decile","East Midlands (England)",9.6
100001895,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","Yes, entry phone and locked gate/door","Satisfactory","Small amount","None or almost none",9379,0.00020306164012234,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I smoke daily",16,"Less than once a month",160,0,2,"Female",41,"ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","C - 3rd decile","London",NA
100001897,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",9456,0.00010153082006117,"Yes","Conservative",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Never",NA,NA,3,"Male",42,"ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not marked","Not marked","Limited","H - 10th decile","West Midlands (England)",0
100001904,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9382,0.0000676872133741134,"Not eligible to vote",NA,NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Never",NA,NA,3,"Male",16,"ES-ISCED II, lower secondary","Not marked","Marked","Not marked","Not marked","Not marked",NA,NA,"Northern Ireland",0
100001905,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Very good","None or almost none","None or almost none",9429,0.00010153082006117,"Yes","Green Party","Green Party","Quite close","Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Several times a week",28,14,2,"Male",72,"ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","F - 5th decile","North West (England)",9.14285714285714
100001909,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","Yes, entry phone and locked gate/door","Good","Small amount","None or almost none",9485,0.00010153082006117,"Yes","Liberal Democrat","Scottish National Party","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Once a week",36,109,2,"Male",31,"ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","D - 9th decile","Scotland",NA
100001912,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","Large amount","Small amount",9467,0.00010153082006117,"Yes","Labour","Labour","Quite close","Yes",NA,"No",NA,"I have only smoked a few times",0,"Several times a week",48,89,3,"Male",47,"ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","K - 7th decile","London",8.22857142857143
100001914,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",9395,0.00010153082006117,"Not eligible to vote",NA,NA,NA,"No",NA,"No",NA,"I have never smoked",0,"Never",NA,NA,5,"Female",32,"ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not marked","Not marked",NA,"C - 3rd decile","West Midlands (England)",0
100001915,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Satisfactory","None or almost none","None or almost none",9255,0.0000676872133741134,"Yes","Green Party",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Once a week",34,312,5,"Female",42,"ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","P - 8th decile","Scotland",NA
100001916,"Address","Complete and valid interview related to CF","Present","40 to 59","Male","Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9398,0.00010153082006117,"Yes","Labour","Labour","Quite close","Yes",NA,"Yes",NA,"I smoke but not every day",7,"Several times a week",55,73,4,"Male",51,"ES-ISCED II, lower secondary","Not marked","Not marked","Marked","Not marked","Not marked",NA,"M - 4th decile","North West (England)",5.02857142857143
100001918,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Satisfactory","None or almost none","None or almost none",9391,0.00010153082006117,"Yes","Labour","Labour","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Less than once a month",0,35,2,"Female",73,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","J - 1st decile","Yorkshire and the Humber",NA
100001919,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","Yes, entry phone and locked gate/door","Good","Small amount","None or almost none",9276,0.00020306164012234,"Yes","Liberal Democrat",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Several times a week",49,56,1,"Female",39,"ES-ISCED V2, higher tertiary education, >= MA level","Marked","Not marked","Not marked","Not marked","Not marked","No contract","S - 6th decile","Scotland",24
100001921,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Very good","None or almost none","None or almost none",9235,0.00010153082006117,"Yes","Labour","Labour","Very close","Yes",NA,"Yes",NA,"I have never smoked",0,"Several times a week",14,32,2,"Male",66,"ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","P - 8th decile","South East (England)",4
100001923,"Address","Complete and valid interview related to CF","Present","40 to 59","Male","Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9333,0.0000507654100305851,"No",NA,NA,NA,"Yes",NA,"No","Germany","I have never smoked",0,"Several times a week",34,50,4,"Female",37,"ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","J - 1st decile","Wales",7.2
100001924,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Satisfactory","None or almost none","None or almost none",9332,0.00020306164012234,"Yes","Conservative","Conservative","Not close","Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Less than once a month",9,NA,1,"Male",88,"ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","C - 3rd decile","South East (England)",NA
100001930,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9309,0.00020306164012234,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Less than once a month",0,0,1,"Female",72,"Other","Not marked","Not marked","Not marked","Not marked","Marked","Limited","R - 2nd decile","East Midlands (England)",0.0457142857142857
100001931,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","Yes, entry phone","Good","Small amount","None or almost none",9320,0.00020306164012234,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Once a week",0,48,2,"Female",35,"ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","C - 3rd decile","South East (England)",4.48979591836735
100001934,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","Small amount","Small amount",9252,0.00020306164012234,"Yes","Liberal Democrat",NA,NA,"Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Several times a week",8,8,1,"Female",84,"ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","C - 3rd decile","Scotland",1.82857142857143
100001936,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",9286,0.0000676872133741134,"Yes","Labour","Labour","Not close","Yes",NA,"Yes",NA,"I smoke daily",5,"Several times a week",178,253,3,"Male",24,"ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","H - 10th decile","North West (England)",3.2
100001939,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9403,0.00010153082006117,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I smoke daily",5,"Never",NA,NA,2,"Female",67,"ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","C - 3rd decile","Yorkshire and the Humber",0
100001948,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",9262,0.00020306164012234,"Yes","Labour",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"2-3 times a month",18,28,1,"Male",47,"ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","C - 3rd decile","East of England",3.08571428571429
100001951,"Address","Complete and valid interview related to CF","Refused",NA,NA,"Single unit: Terraced house","No, neither of these","Very good","None or almost none","None or almost none",9348,0.00010153082006117,"Yes","Liberal Democrat","Labour","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Several times a week",25,17,2,"Female",63,"ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not marked","Marked",NA,"K - 7th decile","South West (England)",19.2
100001953,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",9386,0.00010153082006117,"Yes","Liberal Democrat",NA,NA,"Yes",NA,"Yes",NA,"I smoke daily",10,"Every day",72,72,2,"Female",47,"ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","K - 7th decile","West Midlands (England)",72
100001955,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit: Sheltered/retirement housing","Yes, entry phone","Good","None or almost none","None or almost none",9255,0.00020306164012234,"Yes","Labour",NA,NA,"Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Never",NA,NA,1,"Female",NA,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited",NA,"Scotland",0
100001956,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","Small amount","Small amount",9428,0.00010153082006117,"Yes","Labour","Labour","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Never",NA,NA,2,"Female",55,"ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not marked","Not marked","No contract","J - 1st decile","North East (England)",0
100001957,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",9288,0.0000676872133741134,"Yes","Labour","Labour","Quite close","Yes",NA,"No",NA,"I don't smoke now but I used to",0,"Never",NA,NA,5,"Female",35,"ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","J - 1st decile","South East (England)",0
100001961,"Address","Complete and valid interview related to CF","Present","20 to 39","Female","Single unit: Semi-detached house","No, neither of these","Satisfactory","Small amount","None or almost none",9248,0.00020306164012234,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I smoke daily",9,"Once a month",0,221,3,"Female",27,"ES-ISCED II, lower secondary","Not marked","Not marked","Marked","Not marked","Not marked","Unlimited","J - 1st decile","North West (England)",1.9047619047619
100001963,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Very good","None or almost none","None or almost none",9374,0.00010153082006117,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Never",NA,NA,2,"Female",24,"ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","K - 7th decile","East Midlands (England)",0
100001967,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Satisfactory","Small amount","None or almost none",9243,0.0000507654100305851,"No",NA,NA,NA,"No","Poland","No","Poland","I smoke daily",17,"Every day",92,92,5,"Male",35,"ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not marked","Not marked",NA,"D - 9th decile","London",92
